Wikidata ID	Name	Description
P6	head of government	head of the executive power of this town, city, municipality, state, country, or other governmental body
P17	country	sovereign state of this item; don’t use on humans
P19	place of birth	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character
P20	place of death	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character
P22	father	male parent of the subject. For stepfather, use ”stepparent” (P3448)
P25	mother	female parent of the subject. For stepmother, use ”stepparent” (P3448)
P26	spouse	the subject has the object as their spouse (husband, wife, partner, etc.). Use ”unmarried partner” (P451) for non-married companions
P27	country of citizenship	the object is a country that recognizes the subject as its citizen
P30	continent	continent of which the subject is a part
P31	instance of	that class of which this subject is a particular example and member. (Subject typically an individual member with Proper Name label.) Different from P279 (subclass of)
P35	head of state	official with the highest formal authority in a country/state
P36	capital	primary city of a country, state or other type of administrative territorial entity
P37	official language	language designated as official by this item
P39	position held	subject currently or formerly holds the object position or public office
P40	child	subject has the object in their family as their offspring son or daughter (independently of their age)
P50	author	main creator(s) of a written work (use on works, not humans)
P54	member of sports team	sports teams or clubs that the subject currently represents or formerly represented
P57	director	director(s) of this motion picture, TV-series, stageplay, video game or similar
P58	screenwriter	author(s) of the screenplay or script for this work
P69	educated at	educational institution attended by the subject
P86	composer	person(s) who wrote the music; also use P676 for lyricist
P102	member of political party	the political party of which this politician is or has been a member
P108	employer	person or organization for which the subject works or worked
P112	founded by	founder or co-founder of this organization, religion or place
P118	league	league in which team or player plays or has played in
P123	publisher	organization or person responsible for publishing books, periodicals, games or software
P127	owned by	owner of the subject
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events
P136	genre	a creative work’s genre or an artist’s field of work (P101). Use main subject (P921) to relate creative works to their topic
P137	operator	person or organization that operates the equipment, facility, or service; use country for diplomatic missions
P140	religion	religion of a person, organization or religious building, or associated with this subject
P150	contains administrative territorial entity	(list of) direct subdivisions of an administrative territorial entity
P155	follows	immediately prior item in some series of which the subject is part. Use P1365 (replaces) if the preceding item was replaced, e.g. political offices, states and there is no identity between precedent and following geographic unit
P156	followed by	immediately following item in some series of which the subject is part. Use P1366 (replaced by) if the item is replaced, e.g. political offices, states
P159	headquarters location	specific location where an organization’s headquarters is or has been situated
P161	cast member	actor performing live for a camera or audience [use ”character role” (P453) and/or ”name of the character role” (P4633) as qualifiers] [use ”voice actor” (P725) for voice-only role]
P162	producer	producer(s) of this film or music work (film: not executive producers, associate producers, etc.) [use P272 to refer to the production company]
P166	award received	award or recognition received by a person, organisation or creative work
P170	creator	maker of a creative work or other object (where no more specific property exists)
P171	parent taxon	closest parent taxon of the taxon in question
P172	ethnic group	subject’s ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).
P175	performer	performer involved in the performance or the recording of a work
P176	manufacturer	manufacturer or producer of this product
P178	developer	organisation or person that developed this item
P179	series	subject is part of a series, whose sum constitutes the object
